"Opera ve bale salonu, koltuk, oynanan eser ve seyirci sayısı, 2000-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"The number of opera and ballet halls, seats, number of shows and audiences, 2000-2024",,,,,,,,,,
,,,,"Oynanan eser sayısı
The number of shows",,,,"Seyirci sayısı
The number of audiences",,
"Sezon yılı
Season year","Opera ve bale salonu sayısı
The number of opera and ballet halls","Koltuk sayısı
The number of seats",,"Toplam
Total","Yerli eser
National show","Yabancı eser
Foreign show",,"Toplam
Total","Yerli eser
National show","Yabancı eser
Foreign show"
1999/'00,6,3474,,94,24,70,,258547,110410,148137
2000/'01,6,4391,,95,23,72,,207360,47839,159521
2001/'02,5,3897,,98,20,78,,165154,18477,146677
2002/'03,5,3850,,135,45,90,,273271,100054,173217
2003/'04,5,4264,,144,58,86,,457717,31666,426051
2004/'05,5,3850,,199,70,129,,252076,76046,176030
2005/'06,5,3860,,189,85,104,,245448,89540,155908
2006/'07,7,3834,,84,33,51,,451271,121924,329347
2007/'08,10,5879,,203,143,60,,325364,120997,204367
2008/'09,7,4345,,143,74,69,,181605,105235,76370
2009/'10,12,6967,,251,123,128,,324007,113590,210417
2010/'11,9,5077,,208,83,125,,310623,128984,181639
2011/'12,14,7799,,228,92,136,,333707,169043,164664
2012/'13,12,6776,,234,122,112,,375223,220172,155051
2013/'14,15,10288,,188,98,90,,400420,185045,215375
2014/'15,11,6398,,190,75,115,,337007,143981,193026
2015/'16,11,6398,,170,103,67,,272578,153206,119372
2016/'17,11,6398,,198,125,73,,281069,115469,165600
2017/'18,11,5970,,202,94,108,,293002,119257,173745
2018/'19,13,11672,,179,84,95,,322189,146168,176021
2019/'20,13,11672,,165,89,76,,256063,121658,134405
2020/'21,14,8949,,98,47,51,,14032,6682,7350
2021/'22,14,8925,,231,123,108,,211233,83517,127716
2022/'23,13,8260,,155,77,78,,275086,98993,176093
2023/'24,13,8241,,209,111,98,,438950,143172,295778
"TÜİK, Sinema ve Gösteri Sanatları İstatistikleri",,,,,,,,,,
"TurkStat, Cinema and Performing Arts Statistics",,,,,,,,,,
"Kaynak: Kültür ve Turizm Bakanlığı, Devlet Opera ve Balesi Genel Müdürlüğü",,,,,,,,,,
"Source: Ministry of Culture and Tourism, Directorate General of State Opera and Ballet",,,,,,,,,,
